[2025-10-09T05:29:49.889108Z] Actor Renovación iniciado. Suscrito a tópico: Renovacion
[2025-11-14T06:07:24.949731Z] RENOVACION PROCESADA | Usuario=38 | Libro=BOOK-394 | RecibidoGC=2025-11-14T06:07:24.753279Z | Publicado=2025-11-14T06:07:24.753392Z | NuevaFecha=2025-11-28T06:07:24.906901Z | Procesado=2025-11-14T06:07:24.949633Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.965680Z] RENOVACION PROCESADA | Usuario=7 | Libro=BOOK-87 | RecibidoGC=2025-11-14T06:07:24.755913Z | Publicado=2025-11-14T06:07:24.755976Z | NuevaFecha=2025-11-28T06:07:24.927104Z | Procesado=2025-11-14T06:07:24.965565Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.973674Z] RENOVACION PROCESADA | Usuario=7 | Libro=BOOK-87 | RecibidoGC=2025-11-14T06:07:24.755913Z | Publicado=2025-11-14T06:07:24.755976Z | NuevaFecha=2025-11-28T06:07:24.940577Z | Procesado=2025-11-14T06:07:24.973529Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.977742Z] RENOVACION PROCESADA | Usuario=7 | Libro=BOOK-87 | RecibidoGC=2025-11-14T06:07:24.755913Z | Publicado=2025-11-14T06:07:24.755976Z | NuevaFecha=2025-11-28T06:07:24.949836Z | Procesado=2025-11-14T06:07:24.977667Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.988533Z] RENOVACION PROCESADA | Usuario=68 | Libro=BOOK-732 | RecibidoGC=2025-11-14T06:07:24.763221Z | Publicado=2025-11-14T06:07:24.763245Z | NuevaFecha=2025-11-28T06:07:24.965852Z | Procesado=2025-11-14T06:07:24.987862Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:24.996294Z] RENOVACION PROCESADA | Usuario=68 | Libro=BOOK-732 | RecibidoGC=2025-11-14T06:07:24.763221Z | Publicado=2025-11-14T06:07:24.763245Z | NuevaFecha=2025-11-28T06:07:24.973769Z | Procesado=2025-11-14T06:07:24.996225Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.000484Z] RENOVACION PROCESADA | Usuario=68 | Libro=BOOK-732 | RecibidoGC=2025-11-14T06:07:24.763221Z | Publicado=2025-11-14T06:07:24.763245Z | NuevaFecha=2025-11-28T06:07:24.977847Z | Procesado=2025-11-14T06:07:25.000419Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.013448Z] RENOVACION PROCESADA | Usuario=7 | Libro=BOOK-87 | RecibidoGC=2025-11-14T06:07:24.764176Z | Publicado=2025-11-14T06:07:24.764200Z | NuevaFecha=2025-11-28T06:07:24.988649Z | Procesado=2025-11-14T06:07:25.013306Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.021945Z] RENOVACION PROCESADA | Usuario=7 | Libro=BOOK-87 | RecibidoGC=2025-11-14T06:07:24.764176Z | Publicado=2025-11-14T06:07:24.764200Z | NuevaFecha=2025-11-28T06:07:24.996388Z | Procesado=2025-11-14T06:07:25.021884Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.037973Z] RENOVACION PROCESADA | Usuario=7 | Libro=BOOK-87 | RecibidoGC=2025-11-14T06:07:24.764176Z | Publicado=2025-11-14T06:07:24.764200Z | NuevaFecha=2025-11-28T06:07:25.000568Z | Procesado=2025-11-14T06:07:25.037855Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.072429Z] RENOVACION PROCESADA | Usuario=68 | Libro=BOOK-732 | RecibidoGC=2025-11-14T06:07:24.768938Z | Publicado=2025-11-14T06:07:24.768994Z | NuevaFecha=2025-11-28T06:07:25.013634Z | Procesado=2025-11-14T06:07:25.072356Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.084963Z] RENOVACION PROCESADA | Usuario=68 | Libro=BOOK-732 | RecibidoGC=2025-11-14T06:07:24.768938Z | Publicado=2025-11-14T06:07:24.768994Z | NuevaFecha=2025-11-28T06:07:25.022020Z | Procesado=2025-11-14T06:07:25.084876Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.090512Z] RENOVACION PROCESADA | Usuario=68 | Libro=BOOK-732 | RecibidoGC=2025-11-14T06:07:24.768938Z | Publicado=2025-11-14T06:07:24.768994Z | NuevaFecha=2025-11-28T06:07:25.038098Z | Procesado=2025-11-14T06:07:25.090420Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.130222Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-626 | RecibidoGC=2025-11-14T06:07:24.771676Z | Publicado=2025-11-14T06:07:24.771737Z | NuevaFecha=2025-11-28T06:07:25.072520Z | Procesado=2025-11-14T06:07:25.130107Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.149127Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-626 | RecibidoGC=2025-11-14T06:07:24.771676Z | Publicado=2025-11-14T06:07:24.771737Z | NuevaFecha=2025-11-28T06:07:25.085138Z | Procesado=2025-11-14T06:07:25.149039Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.156740Z] RENOVACION PROCESADA | Usuario=12 | Libro=BOOK-626 | RecibidoGC=2025-11-14T06:07:24.771676Z | Publicado=2025-11-14T06:07:24.771737Z | NuevaFecha=2025-11-28T06:07:25.090645Z | Procesado=2025-11-14T06:07:25.156655Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
[2025-11-14T06:07:25.174081Z] RENOVACION PROCESADA | Usuario=79 | Libro=BOOK-693 | RecibidoGC=2025-11-14T06:07:24.773495Z | Publicado=2025-11-14T06:07:24.773666Z | NuevaFecha=2025-11-28T06:07:25.130380Z | Procesado=2025-11-14T06:07:25.173929Z | GA={'estado': 'error', 'mensaje': 'prestamo no encontrado (replay)'}
